KEY,name
Location(4505927319552000),Arena Hallway
Location(4509875725926400),Keep Kitchen Storage
Location(4509974331916288),Giant Turtle
Location(4514173299982336),Great Northern Valley
Location(4514844928638976),Third Floor Landing
Location(4515975543128064),Combat site: Orc Prince
Location(4516845742194688),Tainted Jungle
Location(4516897327415296),Tomb of the Fallen
Location(4517876816150528),Mortachiani Highlands
Location(4519598845067264),Long Narrow Passage
Location(4522237236346880),Troll Cave
Location(4522881598095360),MGO's Weapon Roll Testing Room
Location(4525433985171456),Deep Jungle
Location(4525514647666688),North Cemetery
Location(4526915240591360),Drub'Lak Tribe Ogre Camp
Location(4527609808945152),Forgotten Altar
Location(4532035590291456),
Location(4535180153061376),Xaruk Forest
Location(4538703854698496),Dense Jungle
Location(4542490997161984),Northern Crags
Location(4543108142333952),Ferry
Location(4543383448322048),Reward Room
Location(4544979972128768),Long Hall 3
Location(4545027229614080),MGO's Item Spawner Room
Location(4550204267429888),Shrine of Papa's Spirit
Location(4550381602340864),Old Mine
Location(4553554777866240),Nortion Hills
Location(4554135707844608),Lower Stormcrag Mountains
Location(4554371022979072),Marcusville
Location(4555180137250816),Rat's Nest
Location(4557967676932096),Maelstrom
Location(4558049120354304),Embalming Room
Location(4558500787388416),Yondir Dock
Location(4562755466297344),
Location(4565181170450432),Forgotton Cave Entrance
Location(4565452399575040),Endless Tunnel
Location(4566930161139712),Large Wardrobe
Location(4567021807206400),Old Mine
Location(4567038813011968),Burning Wastes
Location(4568630826369024),Nakeen's Test Room2
Location(4568800104284160),Flooded Marsh
Location(4569513123381248),Arena Entrance
Location(4571571273334784),West Library
Location(4572325261344768),Alderai Trail
Location(4575050063151104),Stairs
Location(4575666044928000),Spider Nesting Site
Location(4579063346757632),Archmage's Quarters
Location(4580320541671424),Steaming Cave
Location(4585920951222272),Reward Room
Location(4589389035864064),Arena Hallway
Location(4590542854815744),Rolling Dunes
Location(4595472251486208),Safe House
Location(4597336033460224),Serpent Pit
Location(4600623388950528),Rocky Hill
Location(4605232224403456),Ratargul Swamp
Location(4607732636188672),Perigee Peak
Location(4607990200008704),Northeast Cemetery
Location(4610597649907712),Front Door
Location(4611092757086208),Potions Laboratory
Location(4612151846633472),Strange Room
Location(4615707669037056),Rocky Path
Location(4618088644345856),Strange Rock Formation
